Word,Coefficient
tomorrow,0.027556524
rule,0.024422219
age,0.017162989
plus,0.016179435
right,0.016044468
help,0.015175267
high,0.013324689
day,0.010255453
friday,0.009889967
black,0.009889967
sales,0.008838271
today,-0.004190051
students,-0.005124985
process,-0.005260805
little,-0.014501557
borba,-0.01705401
michele,-0.01705401
thrivers,-0.01705401
adult,-0.017567402
real,-0.020082443
easier,-0.028713325
feel,-0.031560776
mistake,-0.037663543
years,-0.042160157
ap,-0.044249658
credits,-0.044249658
space,-0.045853145
mistakes,-0.053038447
probably,-0.053544024
ways,-0.05617314
scores,-0.058975455
gpas,-0.058975455
test,-0.058975455
semester,-0.059669149
picked,-0.059987487
needs,-0.060217238
bring,-0.060540172
older,-0.061117608
position,-0.061117608
simply,-0.065213446
late,-0.066793633
mid,-0.067135332
live,-0.068911735
summers,-0.069107343
faced,-0.07018232
alright,-0.072275287
birthday,-0.072915411
legal,-0.07587201
docs,-0.07587201
figured,-0.078933099
laughing,-0.078933099
guy,-0.078933099
asking,-0.079186028
ends,-0.079642415
september,-0.079642415
west,-0.081776613
area,-0.081776613
nacac,-0.081776613
coast,-0.081776613
small,-0.082643818
jeopardy,-0.084418824
internship,-0.085199648
just,-0.086015087
table,-0.086015087
career,-0.0874892
text,-0.09001642
gotten,-0.09001642
head,-0.090642506
myths,-0.091546716
kindest,-0.092782142
shut,-0.094806868
excuses,-0.094806868
voting,-0.094806868
idiotic,-0.094806868
saying,-0.098855426
free,-0.099807117
parented,-0.10086564
happens,-0.101031559
fixing,-0.101031559
talking,-0.102746662
rage,-0.102941062
behavior,-0.102941062
games,-0.103569503
brings,-0.104902883
boyfriend,-0.104902883
buys,-0.105383031
waste,-0.105383031
far,-0.105678686
missing,-0.107274617
compliments,-0.108052106
gratitude,-0.108052106
warm,-0.109511756
bench,-0.109511756
busy,-0.109872898
volunteer,-0.110073351
opportunities,-0.110073351
classroom,-0.110902434
zoom,-0.110902434
tools,-0.110939242
successful,-0.110939242
beginnings,-0.113781203
face,-0.113781203
waiting,-0.114053077
decor,-0.11595587
trial,-0.116130689
asked,-0.116130689
earn,-0.116467374
boundaries,-0.117109077
create,-0.117109077
vaping,-0.117221937
want,-0.117382418
vicariously,-0.118662035
lives,-0.118662035
milan,-0.118859917
lose,-0.118859917
superpower,-0.118859917
note,-0.118859917
dropped,-0.120474107
toughest,-0.12182104
got,-0.12246195
lash,-0.123292451
china,-0.123377645
american,-0.123377645
ahead,-0.123377645
thinking,-0.124632581
hear,-0.124889707
talkaboutit,-0.124966466
months,-0.124966466
chat,-0.12611001
100,-0.12611001
names,-0.12611001
dads,-0.126670624
best,-0.127088279
speech,-0.127653719
graduates,-0.127653719
commencement,-0.127653719
scared,-0.130524699
trip,-0.131210107
grow,-0.131210107
responsibly,-0.133850949
asks,-0.133949161
focusing,-0.135116181
stuck,-0.136101106
goodbye,-0.137279168
demotion,-0.13779958
nagging,-0.138245688
80s,-0.138569019
tip,-0.139223186
relationship,-0.139223186
surprising,-0.139746336
promise,-0.139747713
raise,-0.139781972
resilient,-0.139781972
hits,-0.14111389
hurricane,-0.14111389
study,-0.141382568
man,-0.143073673
reads,-0.143349877
judging,-0.143387968
creating,-0.144876582
milestones,-0.144876582
application,-0.145285894
police,-0.14542794
italy,-0.145517499
homework,-0.145570031
dinners,-0.145570031
happen,-0.145570031
activities,-0.145570031
raising,-0.148804108
spend,-0.150405985
fails,-0.151551493
strict,-0.152009154
argument,-0.152009154
better,-0.15210238
sophomore,-0.152463653
slump,-0.152463653
coping,-0.152875872
excess,-0.153152406
preteen,-0.153601905
working,-0.15379194
physician,-0.15379194
safely,-0.15379194
typical,-0.154125476
withdrawing,-0.1549801
proof,-0.1549801
tweens,-0.155751269
learning,-0.156792386
manage,-0.157297855
struggling,-0.158089614
message,-0.159826632
person,-0.15993633
lifelong,-0.160074725
hope,-0.160074725
trick,-0.160557318
bearable,-0.160557318
nest,-0.160557318
rejection,-0.16117551
lin,-0.16117551
miranda,-0.16117551
manuel,-0.16117551
grades,-0.162312402
worry,-0.162312402
average,-0.162312402
wishes,-0.164176477
pack,-0.164687933
quarantine,-0.164687933
bag,-0.164687933
